References,Quantity,Value,Manufacturer,Manufacturer Part Number,DigiKey Part Number,Package,Sourcing Note
"C1 C2",2,10nF C0G,Murata Electronics,GRM1885C1H103JA01D,490-9666-1-ND,0603,50 V C0G 5%
"C3 C5",2,1uF,KEMET,C0603C105K4RACTU,399-C0603C105K4RACTUCT-ND,0603,16 V X7R 10%
"C4 C6",2,100nF,KEMET,C0603C104K5RACTU,399-C0603C104K5RACTUCT-ND,0603,50 V X7R 10%
C7,1,220nF,KEMET,C0603C224K4RACTU,399-C0603C224K4RACTUCT-ND,0603,16 V X7R 10%
D1,1,SMF3.3CA,Good-Ark Semiconductor,GSMF3.3CA,4786-GSMF3.3CACT-ND,SOD-123F,3.3 V bidirectional TVS
D2,1,SMBJ18CA,Littelfuse,SMBJ18CA,SMBJ18CALFCT-ND,DO-214AA SMB,18 V bidirectional TVS
FB1,1,600R@100MHz,TDK,MPZ1608S601ATA00,445-MPZ1608S601ATA00CT-ND,0603,600 ohm at 100 MHz
J1,1,Tiny Tapeout PMOD,Samtec,TSW-106-08-G-D-RA,612-TSW-106-08-G-D-RA-ND,2x6 2.54 mm THT,Right-angle male header
J2,1,SJ-3523-SMT-TR,Same Sky,SJ-3523-SMT-TR,CP-3523SJCT-ND,SMD,3.5 mm stereo jack
J3,1,PJ-002BH-SMT-TR,Same Sky,PJ-002BH-SMT-TR,CP-002BHPJCT-ND,SMD,2.5 x 5.5 mm barrel jack
J4,1,613012243121,Wurth Elektronik,613012243121,732-613012243121-ND,2x6 2.54 mm THT,Vertical female socket
"R1 R2",2,6.49R 0.1%,Vishay,TNPW08056R49BEEA,,0805,Not currently listed by DigiKey; do not substitute 1% without recalibration
"R3 R4 R9 R10",4,1k 0.1%,Susumu,RG1608P-102-B-T5,RG16P1.0KBCT-ND,0603,25 ppm/C thin film
"R5 R6",2,100k 0.1%,Panasonic Industry,ERA-6AEB104V,P100KDACT-ND,0805,25 ppm/C thin film
"R7 R8",2,6.49k 0.1%,Yageo,RT0805BRD076K49L,YAG1965CT-ND,0805,25 ppm/C thin film
"R11 R12",2,10k 1%,Stackpole Electronics,RMCF0603FT10K0,RMCF0603FT10K0CT-ND,0603,General-purpose
R13,1,33R 1%,Yageo,RC0603FR-0733RL,13-RC0603FR-0733RLCT-ND,0603,General-purpose
U1,1,ADS131M02IPWR,Texas Instruments,ADS131M02IPWR,296-ADS131M02IPWRCT-ND,TSSOP-20,24-bit dual-channel ADC
